Sale_ID,Date,Store_ID,Product_ID,Units
1,2022-01-01,24,4,1
2,2022-01-01,28,1,1
3,2022-01-01,6,8,1
4,2022-01-01,48,7,1
5,2022-01-01,44,18,1
6,2022-01-01,1,31,1
7,2022-01-01,40,7,1
8,2022-01-01,19,2,1
9,2022-01-01,38,21,1
10,2022-01-01,21,8,1
11,2022-01-01,6,8,1
12,2022-01-01,34,8,1
13,2022-01-01,37,8,2
14,2022-01-01,38,9,1
15,2022-01-01,5,31,1
16,2022-01-01,34,24,1
17,2022-01-01,8,8,1
18,2022-01-01,6,8,1
19,2022-01-01,8,8,1
20,2022-01-01,3,24,2
21,2022-01-01,5,31,1
22,2022-01-01,33,27,1
23,2022-01-01,3,8,1
24,2022-01-01,30,24,1
25,2022-01-01,4,20,1
26,2022-01-01,41,8,1
27,2022-01-01,34,31,1
28,2022-01-01,10,35,1
29,2022-01-01,16,35,1
30,2022-01-01,34,18,3
31,2022-01-01,34,8,1
32,2022-01-01,4,20,1
33,2022-01-01,5,31,1
34,2022-01-01,36,1,1
35,2022-01-01,39,34,3
36,2022-01-01,5,21,1
37,2022-01-01,33,27,1
38,2022-01-01,32,8,4
39,2022-01-01,25,9,1
40,2022-01-01,46,6,1
41,2022-01-01,23,14,1
42,2022-01-01,33,27,1
43,2022-01-01,50,5,1
44,2022-01-01,12,7,1
45,2022-01-01,41,8,3
46,2022-01-01,12,8,1
47,2022-01-01,30,1,3
48,2022-01-01,38,21,1
49,2022-01-01,50,24,1
50,2022-01-01,22,30,1
51,2022-01-01,21,8,1
52,2022-01-01,48,7,1
53,2022-01-01,8,8,1
54,2022-01-01,50,6,1
55,2022-01-01,33,27,1
56,2022-01-01,41,8,2
57,2022-01-01,46,6,1
58,2022-01-01,16,8,1
59,2022-01-01,41,1,1
60,2022-01-01,37,18,1
61,2022-01-01,36,1,1
62,2022-01-01,21,8,1
63,2022-01-01,36,1,1
64,2022-01-01,34,18,2
65,2022-01-01,5,31,1
66,2022-01-01,24,4,1
67,2022-01-01,33,33,1
68,2022-01-01,48,9,1
69,2022-01-01,33,33,1
70,2022-01-01,37,31,1
71,2022-01-01,27,8,1
72,2022-01-01,19,6,2
73,2022-01-01,44,2,1
74,2022-01-01,30,24,1
75,2022-01-01,34,24,1
76,2022-01-01,19,6,2
77,2022-01-01,21,1,1
78,2022-01-01,41,8,3
79,2022-01-01,7,9,1
80,2022-01-01,7,4,1
81,2022-01-01,7,9,1
82,2022-01-01,50,24,1
83,2022-01-01,5,8,1
84,2022-01-01,8,20,1
85,2022-01-01,47,8,1
86,2022-01-01,33,33,1
87,2022-01-01,1,31,1
88,2022-01-01,47,8,1
89,2022-01-01,12,6,3
90,2022-01-01,49,5,1
91,2022-01-01,16,8,1
92,2022-01-01,7,9,1
93,2022-01-01,10,35,1
94,2022-01-01,37,22,1
95,2022-01-01,41,8,2
96,2022-01-01,10,8,1
97,2022-01-01,42,27,1
98,2022-01-01,24,4,1
99,2022-01-01,33,27,1
100,2022-01-01,5,21,1
101,2022-01-01,5,8,1
102,2022-01-01,16,35,1
103,2022-01-01,8,8,1
104,2022-01-01,5,7,1
105,2022-01-01,36,14,3
106,2022-01-01,24,31,1
107,2022-01-01,12,8,1
108,2022-01-01,47,31,1
109,2022-01-01,29,2,1
110,2022-01-01,18,10,1
111,2022-01-01,50,5,1
112,2022-01-01,49,5,1
113,2022-01-01,34,8,1
114,2022-01-01,10,35,1
115,2022-01-01,30,6,3
116,2022-01-01,46,6,1
117,2022-01-01,47,31,1
118,2022-01-01,16,30,1
119,2022-01-01,41,1,1
120,2022-01-01,9,27,1
121,2022-01-01,12,7,1
122,2022-01-01,44,18,1
123,2022-01-01,24,31,1
124,2022-01-01,44,18,1
125,2022-01-01,7,31,1
126,2022-01-01,32,8,4
127,2022-01-01,21,17,3
128,2022-01-01,24,4,1
129,2022-01-01,18,10,1
130,2022-01-01,5,8,1
131,2022-01-01,48,2,1
132,2022-01-01,49,5,1
133,2022-01-01,8,8,1
134,2022-01-01,7,8,1
135,2022-01-01,12,7,1
136,2022-01-01,50,24,1
137,2022-01-01,4,9,1
138,2022-01-01,6,8,1
139,2022-01-01,42,8,1
140,2022-01-01,9,24,1
141,2022-01-01,1,21,2
142,2022-01-01,4,9,1
143,2022-01-01,33,33,1
144,2022-01-01,10,35,1
145,2022-01-01,16,35,1
146,2022-01-01,24,4,1
147,2022-01-01,37,34,1
148,2022-01-01,8,20,1
149,2022-01-01,29,2,1
150,2022-01-01,41,8,1
151,2022-01-01,9,8,1
152,2022-01-01,38,22,2
153,2022-01-01,5,21,1
154,2022-01-01,9,8,1
155,2022-01-01,39,34,3
156,2022-01-01,48,8,1
157,2022-01-01,38,8,1
158,2022-01-01,9,8,1
159,2022-01-01,40,17,1
160,2022-01-01,30,1,2
161,2022-01-01,21,8,1
162,2022-01-01,41,1,1
163,2022-01-01,44,18,1
164,2022-01-01,9,24,1
165,2022-01-01,50,8,2
166,2022-01-01,5,21,1
167,2022-01-01,30,6,3
168,2022-01-01,48,7,1
169,2022-01-01,23,14,1
170,2022-01-01,50,24,1
171,2022-01-01,28,1,1
172,2022-01-01,9,8,1
173,2022-01-01,44,18,1
174,2022-01-01,31,18,2
175,2022-01-01,41,1,1
176,2022-01-01,38,21,1
177,2022-01-01,28,30,1
178,2022-01-01,37,31,1
179,2022-01-01,30,2,1
180,2022-01-01,34,18,3
181,2022-01-01,19,2,1
182,2022-01-01,21,17,3
183,2022-01-01,32,8,3
184,2022-01-01,9,1,1
185,2022-01-01,10,35,1
186,2022-01-01,41,8,1
187,2022-01-01,7,4,1
188,2022-01-01,7,31,1
189,2022-01-01,33,33,1
190,2022-01-01,39,8,1
191,2022-01-01,37,34,1
192,2022-01-01,34,8,1
193,2022-01-01,50,33,1
194,2022-01-01,4,20,1
195,2022-01-01,44,2,1
196,2022-01-01,32,9,1
197,2022-01-01,41,1,1
198,2022-01-01,6,8,1
199,2022-01-01,32,8,3
200,2022-01-01,1,21,2
201,2022-01-01,35,31,1
202,2022-01-01,35,31,1
203,2022-01-01,8,8,1
204,2022-01-01,24,31,1
205,2022-01-01,42,8,1
206,2022-01-01,39,34,2
207,2022-01-01,48,2,1
208,2022-01-01,41,8,3
209,2022-01-01,33,33,1
210,2022-01-01,28,30,1
211,2022-01-01,42,27,1
212,2022-01-01,16,8,1
213,2022-01-01,23,14,1
214,2022-01-01,12,6,2
215,2022-01-01,30,24,1
216,2022-01-01,19,30,1
217,2022-01-01,13,6,1
218,2022-01-01,32,8,4
219,2022-01-01,44,18,1
220,2022-01-01,48,8,1
221,2022-01-01,48,8,1
222,2022-01-01,7,9,1
223,2022-01-01,14,6,1
224,2022-01-01,39,34,3
225,2022-01-01,44,2,1
226,2022-01-01,32,8,4
227,2022-01-01,9,8,1
228,2022-01-01,33,33,1
229,2022-01-01,22,30,1
230,2022-01-01,21,17,2
231,2022-01-01,1,21,2
232,2022-01-01,38,22,3
233,2022-01-01,50,8,1
234,2022-01-01,35,31,1
235,2022-01-01,9,24,1
236,2022-01-01,35,31,1
237,2022-01-01,39,8,1
238,2022-01-01,37,34,1
239,2022-01-01,23,14,1
240,2022-01-01,6,8,1
241,2022-01-01,27,8,1
242,2022-01-01,4,1,1
243,2022-01-01,44,18,1
244,2022-01-01,30,9,1
245,2022-01-01,30,2,1
246,2022-01-01,5,7,1
247,2022-01-01,36,1,1
248,2022-01-01,35,31,1
249,2022-01-01,30,6,4
250,2022-01-01,37,8,2
251,2022-01-01,8,8,1
252,2022-01-01,7,31,1
253,2022-01-01,21,17,2
254,2022-01-01,17,9,1
255,2022-01-01,35,31,1
256,2022-01-01,9,24,1
257,2022-01-01,39,34,2
258,2022-01-01,24,4,1
259,2022-01-01,37,18,1
260,2022-01-01,21,17,2
261,2022-01-01,23,14,1
262,2022-01-01,5,31,1
263,2022-01-01,44,2,1
